"","CASE_STATUS","EMPLOYER_STATE","SOC_NAME","FULL_TIME_POSITION","PREVAILING_WAGE","PW_SOURCE","WAGE_RATE_OF_PAY_FROM","WORKSITE_STATE","DECISION_DURATION","EMPLOYMENT_DURATION"
"2293","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",110400,"Other",110400,"West",6,1093
"2294","CERTIFIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",93800,"Other",93800,"Midwest",6,1095
"2295","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55910,"OES",60000,"Mid-Atlantic",6,1095
"2298","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",61963,"OES",77397,"West",6,729
"2299","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",40.12,"OES",42.79,"Midwest",838,1095
"2302","CERTIFIED","West","OPERATIONS RESEARCH ANALYSTS","Y",119642,"OES",135000,"West",6,1095
"2304","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",69000,"Southwest",4,1094
"2305","CERTIFIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",79331,"OES",110000,"South",6,1095
"2306","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",60403,"OES",68000,"Midwest",6,1058
"2308","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",74443,"OES",95000,"West",199,1096
"2309","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",62692,"OES",80000,"New England",4,1095
"2310","CERTIFIED","Mid-Atlantic","ACCOUNTANTS AND AUDITORS","Y",42120,"OES",57000,"Midwest",6,1095
"2311","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",117770,"OES",117770,"West",6,1096
"2314","CERTIFIED","New England","COMPUTER SYSTEMS ANALYSTS","Y",65978,"OES",67000,"New England",4,1095
"2315","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",92435,"OES",95000,"Southwest",6,1093
"2316","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",72987,"OES",84000,"West",6,1096
"2319","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",74152,"OES",75000,"Mid-Atlantic",6,467
"2321","CERTIFIED","South","ACCOUNTANTS AND AUDITORS","Y",46675,"OES",47000,"South",4,1096
"2324","CERTIFIED","South","COMPUTER SYSTEMS ANALYSTS","Y",47154,"Other",60000,"South",6,1096
