"","CASE_STATUS","EMPLOYER_STATE","SOC_NAME","FULL_TIME_POSITION","PREVAILING_WAGE","PW_SOURCE","WAGE_RATE_OF_PAY_FROM","WORKSITE_STATE","DECISION_DURATION","EMPLOYMENT_DURATION"
"3869","CERTIFIED","Midwest","ACCOUNTANTS AND AUDITORS","Y",68078,"OES",69300,"West",6,1096
"3870","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",63398,"OES",64813,"South",6,1096
"3872","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",63461,"OES",63461,"New England",6,1092
"3873","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",74443,"Other",75000,"West",6,1095
"3874","CERTIFIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",60798,"OES",61000,"Southwest",6,1096
"3875","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",83699,"OES",83699,"South",20,1094
"3876","CERTIFIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",69764,"OES",69764,"Midwest",6,1095
"3878","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",84864,"OES",98000,"Mid-Atlantic",6,1096
"3879","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",81245,"OES",107000,"West",6,1095
"3881","CERTIFIED","Midwest","PHYSICIANS AND SURGEONS, ALL OTHER","Y",187200,"OES",550000,"Midwest",6,1096
"3882","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",88878,"OES",88878,"Mid-Atlantic",6,1094
"3883","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",65146,"OES",75480,"New England",6,1095
"3885","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",69389,"OES",69389,"Southwest",89,1095
"3886","CERTIFIED","Southwest","ACCOUNTANTS AND AUDITORS","Y",42890,"OES",47000,"Southwest",6,1095
"3887","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",76170,"OES",93000,"West",7,1095
"3888","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",65374,"OES",66000,"Midwest",4,1095
"3889","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",83325,"OES",83325,"Mid-Atlantic",6,1095
"3890","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90813,"Other",90813,"Mid-Atlantic",6,1095
"3893","CERTIFIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",51189,"OES",60000,"South",4,1094
"3894","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",97219,"OES",122369,"West",798,1095
"3895","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",78400,"Other",80000,"South",4,1095
"3898","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",76170,"OES",91446,"West",4,1093
"3899","CERTIFIED","West","MANAGEMENT ANALYSTS","Y",85592,"OES",99715,"South",6,1095
"3900","CERTIFIED","Southwest","COMPUTER PROGRAMMERS","Y",52229,"Other",70000,"Midwest",6,1095
"3905","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",34.04,"OES",40,"South",6,1094
"3906","CERTIFIED","New England","COMPUTER PROGRAMMERS","Y",55910,"OES",61000,"Mid-Atlantic",6,1095
"3907","CERTIFIED","Southwest","MANAGEMENT ANALYSTS","Y",97885,"OES",97885,"Mid-Atlantic",6,1096
"3908","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",78562,"OES",90000,"West",905,1095
"3909","CERTIFIED","Mid-Atlantic","MANAGEMENT ANALYSTS","Y",58198,"OES",61700,"Mid-Atlantic",6,1096
"3911","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",60382,"OES",75000,"Mid-Atlantic",6,1096
"3912","CERTIFIED","West","COMPUTER PROGRAMMERS","Y",105414,"OES",105414,"West",6,1095
"3913","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",56200,"Other",57500,"Mid-Atlantic",867,1095
"3915","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",60050,"Other",70000,"West",98,1095
"3916","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",111405,"OES",117231,"Mid-Atlantic",4,1095
"3917","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",131434,"Other",160000,"Mid-Atlantic",7,1095
"3918","CERTIFIED","Midwest","COMPUTER PROGRAMMERS","Y",25.15,"Other",28,"Midwest",6,1095
"3919","CERTIFIED","South","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",47840,"OES",47840,"Midwest",7,1094
"3920","CERTIFIED","Midwest","PHYSICIANS AND SURGEONS, ALL OTHER","Y",264118,"OES",270000,"Midwest",6,1095
"3921","CERTIFIED","New England","COMPUTER OCCUPATIONS, ALL OTHER","Y",93142,"OES",94000,"New England",6,1096
"3922","CERTIFIED","Midwest","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",97864,"OES",130000,"Midwest",248,1094
"3923","CERTIFIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",87194,"OES",103000,"New England",6,1095
"3924","CERTIFIED","West","ELECTRICAL ENGINEERS","Y",94619,"OES",105000,"West",6,1096
"3925","CERTIFIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",66269,"OES",75000,"New England",7,1094
"3927","CERTIFIED","US Territory","COMPUTER SYSTEMS ANALYSTS","Y",47382,"OES",60000,"US Territory",6,1094
"3928","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",76170,"OES",105000,"West",6,1095
"3932","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",50856,"Other",51000,"Midwest",231,1095
"3934","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",53186,"OES",60000,"South",6,1096
"3935","CERTIFIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",80122,"OES",90600,"Midwest",7,1095
"3937","CERTIFIED","Midwest","COMPUTER PROGRAMMERS","Y",67974,"OES",68000,"West",361,980
"3939","CERTIFIED","South","OPERATIONS RESEARCH ANALYSTS","Y",28.48,"OES",29,"West",6,1096
"3940","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"Other",69000,"Southwest",6,1095
"3941","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",86653,"OES",96720,"Mid-Atlantic",6,1096
"3945","CERTIFIED","New England","MECHANICAL ENGINEERS","Y",91208,"OES",95838,"Mid-Atlantic",6,1095
"3946","CERTIFIED","New England","MECHANICAL ENGINEERS","Y",68370,"OES",68500,"Midwest",6,1096
"3947","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",89274,"OES",89274,"West",6,1093
"3948","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",53165,"OES",70000,"Mid-Atlantic",6,1095
"3949","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",67642,"OES",70000,"West",6,1095
"3950","CERTIFIED","West","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",70824,"OES",77400,"West",6,1094
"3951","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",49650,"OES",83000,"Midwest",6,1095
"3953","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",124675,"OES",141000,"West",6,1095
"3956","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",59218,"Other",60000,"West",6,1094
"3957","CERTIFIED","Mid-Atlantic","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",69222,"OES",69222,"West",6,1095
"3958","CERTIFIED","Midwest","ELECTRICAL ENGINEERS","Y",48298,"OES",66950,"Southwest",6,1095
"3960","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",78624,"Other",78660,"Midwest",6,709
"3961","CERTIFIED","South","COMPUTER SYSTEMS ANALYSTS","Y",83304,"OES",158096.4,"New England",6,1094
"3962","CERTIFIED","West","OPERATIONS RESEARCH ANALYSTS","Y",95035,"OES",120000,"West",6,1095
"3963","CERTIFIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",121971,"OES",140000,"Southwest",6,1094
"3966","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",96013,"OES",96013,"West",6,1094
"3968","CERTIFIED","Mid-Atlantic","ELECTRICAL ENGINEERS","Y",71094,"OES",87100,"Mid-Atlantic",6,1096
"3969","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",57907,"OES",63300,"Mid-Atlantic",6,1095
"3970","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",108032,"Other",109000,"New England",7,1095
"3971","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",77126,"OES",77126,"Southwest",6,1096
"3972","CERTIFIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",127920,"OES",127920,"New England",6,1095
"3975","CERTIFIED","South","COMPUTER PROGRAMMERS","Y",76981,"Other",96000,"Midwest",582,1094
"3976","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",94619,"OES",95761,"West",6,1093
"3977","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",51813,"OES",61000,"Midwest",6,1094
"3979","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",62754,"OES",63000,"Southwest",6,364
"3980","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",124675,"OES",133750,"West",4,1095
"3981","CERTIFIED","West","ELECTRICAL ENGINEERS","Y",115586,"OES",120000,"West",6,1095
"3982","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",85862,"Other",86000,"Southwest",4,595
"3983","CERTIFIED","West","ACCOUNTANTS AND AUDITORS","N",22.14,"OES",22.14,"West",6,1095
"3984","CERTIFIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",66269,"OES",68000,"New England",6,1095
"3986","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",68598,"OES",75000,"Mid-Atlantic",6,1095
"3987","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",67891,"OES",67891,"Southwest",6,1095
"3988","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",87306,"Other",87306,"West",7,1095
"3989","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",66206,"OES",66206,"Midwest",6,1095
"3994","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80288,"Other",81702,"West",5,1095
"3996","CERTIFIED","South","COMPUTER SYSTEMS ANALYSTS","Y",53934,"OES",60000,"South",6,730
"3997","CERTIFIED","South","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",25.05,"OES",26,"South",6,1096
"3999","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",79331,"Other",80000,"South",44,1095
"4002","CERTIFIED","South","ACCOUNTANTS AND AUDITORS","Y",73507,"OES",74000,"South",6,1094
"4003","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",96000,"Southwest",4,1094
"4004","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",69000,"Southwest",4,1095
"4006","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",58510,"OES",58510,"South",6,1095
"4007","CERTIFIED","Mid-Atlantic","PHYSICIANS AND SURGEONS, ALL OTHER","Y",161408,"OES",216000,"Mid-Atlantic",46,1095
"4008","CERTIFIED","Southwest","MANAGEMENT ANALYSTS","Y",73674,"OES",73674,"Southwest",6,1095
"4009","CERTIFIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",86424,"OES",86424,"West",6,1095
"4010","CERTIFIED","Southwest","FINANCIAL ANALYSTS","N",26.8,"OES",30,"Southwest",6,1095
"4011","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",64813,"Other",65000,"Mid-Atlantic",6,1095
"4012","CERTIFIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",85738,"OES",1e+05,"West",6,1096
"4013","CERTIFIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",55723,"OES",60000,"South",6,1096
"4014","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",67434,"OES",77561,"South",6,1093
"4016","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",115773,"OES",120000,"West",8,1095
"4017","CERTIFIED","New England","COMPUTER OCCUPATIONS, ALL OTHER","Y",79456,"Other",93000,"Midwest",6,1096
"4018","CERTIFIED","New England","COMPUTER PROGRAMMERS","Y",67496,"OES",70000,"New England",6,1095
"4019","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",103200,"Other",110000,"Mid-Atlantic",7,1095
"4020","CERTIFIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",84344,"OES",84344,"Southwest",6,1096
"4021","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",85197,"OES",85200,"Midwest",6,1095
"4022","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",59800,"OES",66564,"Mid-Atlantic",6,1093
"4023","CERTIFIED","South","OPERATIONS RESEARCH ANALYSTS","Y",85155,"OES",161905,"Mid-Atlantic",6,1095
"4025","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",74006,"OES",78841,"Midwest",6,1093
"4027","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",126630,"OES",126630,"West",6,1095
"4029","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",134534,"OES",140000,"West",4,1095
"4030","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",84718,"OES",90000,"West",6,1095
"4031","CERTIFIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",65416,"OES",90000,"Midwest",6,1095
"4032","CERTIFIED","West","MECHANICAL ENGINEERS","Y",96429,"Other",96429,"West",6,1086
"4033","CERTIFIED","Mid-Atlantic","ACCOUNTANTS AND AUDITORS","Y",146058,"OES",150000,"Mid-Atlantic",6,1096
"4034","CERTIFIED","Midwest","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",59218,"OES",84891,"Midwest",6,755
"4035","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",18184,"OES",80184,"West",6,1095
"4036","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",113693,"OES",121800,"South",6,1096
"4038","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",45.3,"OES",47.15,"Midwest",6,1095
"4039","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",73570,"OES",75000,"Southwest",6,1095
"4040","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",106623,"Other",113000,"West",4,1096
"4042","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",63378,"OES",66000,"Mid-Atlantic",4,1095
"4043","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",74984,"OES",75000,"Southwest",385,1095
"4044","CERTIFIED","Southwest","COMPUTER PROGRAMMERS","Y",51002,"Other",60000,"Southwest",6,1095
"4045","CERTIFIED","South","COMPUTER PROGRAMMERS","Y",68557,"OES",81837,"Midwest",16,437
"4047","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",63357,"Other",63500,"Mid-Atlantic",6,1095
"4048","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55910,"OES",60000,"Mid-Atlantic",6,1095
"4049","CERTIFIED","South","OPERATIONS RESEARCH ANALYSTS","Y",40394,"OES",61300,"South",4,1094
"4052","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",47611,"OES",65010,"South",7,1093
"4053","CERTIFIED","Mid-Atlantic","OPERATIONS RESEARCH ANALYSTS","Y",134950,"OES",166000,"Mid-Atlantic",6,1096
"4056","CERTIFIED","Southwest","COMPUTER PROGRAMMERS","Y",46301,"Other",60000,"Southwest",6,728
"4057","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",73944,"OES",80000,"Midwest",6,1096
"4058","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90813,"OES",91646.4,"Mid-Atlantic",6,1095
"4059","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",74443,"Other",90000,"West",6,1095
"4060","CERTIFIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",69493,"OES",69493,"Midwest",4,1095
"4061","CERTIFIED","West","OPERATIONS RESEARCH ANALYSTS","Y",78582,"OES",110000,"West",7,1095
"4062","CERTIFIED","West","MANAGEMENT ANALYSTS","Y",114920,"OES",115000,"South",48,1095
"4063","CERTIFIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",71510,"OES",72000,"South",7,1094
"4064","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",85197,"OES",85197,"Southwest",6,1090
"4065","CERTIFIED","West","COMPUTER PROGRAMMERS","Y",73424,"Other",1e+05,"West",392,1094
"4066","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"Other",69000,"Southwest",6,1095
"4068","CERTIFIED","South","COMPUTER SYSTEMS ANALYSTS","Y",107973,"OES",143750.04,"South",4,1090
"4069","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",64979,"OES",70000,"South",140,1095
"4070","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55910,"Other",70000,"Mid-Atlantic",6,1095
"4071","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",64813,"OES",66000,"Mid-Atlantic",7,728
"4074","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",106101,"OES",125100,"West",7,1094
"4075","CERTIFIED","Midwest","COMPUTER PROGRAMMERS","Y",67891,"OES",67900,"Southwest",4,1095
"4076","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",60653,"OES",68703,"South",6,1095
"4077","CERTIFIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",69389,"OES",130000,"Southwest",6,1095
"4078","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",62213,"OES",64000,"South",4,1095
"4079","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",58510,"OES",110000,"South",6,1095
"4080","CERTIFIED","South","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",46675,"Other",46675,"Mid-Atlantic",26,780
"4081","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",73174,"OES",73174,"West",6,1095
"4084","CERTIFIED","West","COMPUTER PROGRAMMERS","Y",73091,"OES",90000,"West",6,1095
"4085","CERTIFIED","West","PHYSICIANS AND SURGEONS, ALL OTHER","Y",181896,"OES",181896,"West",6,1095
"4087","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",77085,"OES",77085,"West",6,1095
"4088","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",102149,"OES",103000,"West",7,1096
"4089","CERTIFIED","Southwest","MANAGEMENT ANALYSTS","Y",73674,"OES",90682,"Southwest",7,1094
"4090","CERTIFIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",78083,"OES",85000,"Midwest",4,1096
"4091","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",63315,"OES",65000,"Mid-Atlantic",6,1094
"4092","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",84802,"Other",88400,"Midwest",6,1095
"4094","CERTIFIED","Southwest","MANAGEMENT ANALYSTS","Y",65832,"OES",88827,"South",6,1095
"4095","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",63274,"Other",65000,"Southwest",6,1095
"4097","CERTIFIED","New England","COMPUTER OCCUPATIONS, ALL OTHER","Y",97427,"Other",101500,"New England",6,1096
"4098","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70221,"Other",71000,"Mid-Atlantic",6,1095
"4099","CERTIFIED","New England","MECHANICAL ENGINEERS","Y",66040,"OES",66100,"Southwest",4,1095
"4100","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70845,"OES",85000,"Mid-Atlantic",6,1095
"4101","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",64813,"OES",95000,"Mid-Atlantic",6,1095
"4102","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",43992,"OES",60000,"South",4,1095
"4104","CERTIFIED","New England","COMPUTER PROGRAMMERS","N",32.45,"OES",33,"New England",6,1095
"4105","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",169749,"OES",190000,"West",6,1095
"4106","CERTIFIED","South","COMPUTER SYSTEMS ANALYSTS","Y",62213,"OES",76835,"South",6,1094
"4107","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",122533,"OES",122533,"West",7,1094
"4109","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",97800,"Other",110000,"West",4,1094
"4111","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",73091,"OES",74000,"West",6,1095
"4114","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",74194,"OES",1e+05,"Southwest",6,1095
"4116","CERTIFIED","Midwest","COMPUTER PROGRAMMERS","Y",56992,"Other",60000,"Midwest",5,1095
"4117","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",105560,"OES",105560,"New England",6,1094
"4118","CERTIFIED","Midwest","COMPUTER PROGRAMMERS","Y",67829,"OES",67900,"West",6,1094
"4119","CERTIFIED","South","COMPUTER PROGRAMMERS","Y",79581,"OES",103206,"West",4,364
"4122","CERTIFIED","New England","COMPUTER OCCUPATIONS, ALL OTHER","Y",108992,"Other",160000,"Mid-Atlantic",6,1096
"4123","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",80350,"OES",1e+05,"Midwest",764,1005
"4124","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",117770,"OES",117770,"West",6,1095
"4126","CERTIFIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",53726,"OES",53726,"Midwest",6,1095
"4127","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",66810,"Other",67000,"Southwest",6,1096
"4128","CERTIFIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",89898,"OES",90000,"West",6,1095
"4130","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70221,"OES",75000,"Mid-Atlantic",6,864
"4131","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",63710,"OES",63710,"New England",6,1095
"4135","CERTIFIED","New England","COMPUTER SYSTEMS ANALYSTS","Y",79414,"OES",79414,"Southwest",4,1096
"4136","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55910,"OES",60000,"Mid-Atlantic",7,1094
"4137","CERTIFIED","Southwest","ELECTRICAL ENGINEERS","Y",119600,"OES",120000,"Southwest",6,1095
"4138","CERTIFIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",76731,"OES",78915,"South",6,364
"4141","CERTIFIED","South","COMPUTER PROGRAMMERS","Y",88712,"Other",95000,"Mid-Atlantic",7,1095
"4142","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55910,"OES",57000,"Mid-Atlantic",6,1096
"4145","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",117770,"OES",130000,"West",4,1096
"4146","CERTIFIED","West","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",71261,"OES",72000,"Mid-Atlantic",6,1096
"4148","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",61610,"Other",67000.08,"West",6,1096
"4149","CERTIFIED","South","COMPUTER PROGRAMMERS","Y",54267,"OES",60000,"South",4,1095
"4150","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",36315,"OES",63336,"South",6,250
"4151","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",63398,"OES",64200,"South",4,1095
"4152","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",58700,"Other",65000,"Midwest",8,1095
"4153","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",77085,"OES",95000,"West",4,1095
"4154","CERTIFIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",82831,"Other",82831,"Mid-Atlantic",4,1095
"4156","CERTIFIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",83366,"OES",83366,"West",7,1094
"4157","CERTIFIED","South","COMPUTER SYSTEMS ANALYSTS","Y",32.42,"OES",33,"South",4,1096
"4160","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80870,"Other",80870,"West",6,1096
"4161","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",70554,"OES",70554,"Southwest",6,1095
"4162","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",108514,"OES",126000,"Southwest",6,1095
"4163","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",147222,"OES",147222,"West",6,1095
"4168","CERTIFIED","West","OPERATIONS RESEARCH ANALYSTS","Y",67350,"OES",140000.12,"West",6,1096
"4169","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",89794,"Other",89800,"West",6,1086
"4171","CERTIFIED","Southwest","COMPUTER PROGRAMMERS","Y",53560,"OES",60000,"South",6,1095
"4173","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70866,"OES",80000,"Midwest",6,1095
"4174","CERTIFIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",73944,"OES",73944,"Mid-Atlantic",7,1094
"4175","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",85134,"OES",85134,"West",6,1095
"4177","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",133016,"Other",133100,"West",6,1004
"4178","CERTIFIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",88858,"OES",88858,"New England",6,1096
"4180","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",53102,"OES",65000,"South",4,1095
"4181","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",58802,"Other",65000,"Southwest",6,1096
"4182","CERTIFIED","Midwest","COMPUTER PROGRAMMERS","Y",51293,"OES",60000,"Midwest",7,1094
